"동별(1)",동별(2),2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4482063,9597372,4619963,4977409,9331828,4505355,4826473,265544,114608,150936,2.08,1824895
"합계",종로구,72166,149608,71365,78243,138336,66570,71766,11272,4795,6477,1.92,29840
"합계",중구,64995,131214,62924,68290,120544,58015,62529,10670,4909,5761,1.85,26853
"합계",용산구,103241,217194,104540,112654,203854,97469,106385,13340,7071,6269,1.97,39407
"합계",성동구,131953,281289,135575,145714,273669,132409,141260,7620,3166,4454,2.07,51245
"합계",광진구,169931,348652,166045,182607,331963,159237,172726,16689,6808,9881,1.95,59743
"합계",동대문구,172840,358603,173000,185603,338735,165620,173115,19868,7380,12488,1.96,69582
"합계",중랑구,188651,385349,187910,197439,379274,185473,193801,6075,2437,3638,2.01,83492
"합계",성북구,196485,435037,206945,228092,421560,202003,219557,13477,4942,8535,2.15,83568
"합계",강북구,143063,289374,138730,150644,283597,136789,146808,5777,1941,3836,1.98,71411
"합계",도봉구,138759,306032,147685,158347,303228,146696,156532,2804,989,1815,2.19,74223
"합계",노원구,217743,496552,237632,258920,491247,235464,255783,5305,2168,3137,2.26,100579
"합계",은평구,215305,465350,219994,245356,460919,218214,242705,4431,1780,2651,2.14,98063
"합계",서대문구,146221,318622,148227,170395,302853,143412,159441,15769,4815,10954,2.07,60229
"합계",마포구,181135,372745,172405,200340,361417,168356,193061,11328,4049,7279,2.00,60009
"합계",양천구,180209,434351,211560,222791,430976,210199,220777,3375,1361,2014,2.39,80390
"합계",강서구,273911,562194,268770,293424,556171,266237,289934,6023,2533,3490,2.03,107553
"합계",구로구,183891,411916,202710,209206,388169,189991,198178,23747,12719,11028,2.11,83873
"합계",금천구,121075,239070,120506,118564,225159,113211,111948,13911,7295,6616,1.86,47951
"합계",영등포구,192199,397173,194864,202309,373773,182802,190971,23400,12062,11338,1.94,70455
"합계",동작구,186950,387352,186226,201126,375799,181576,194223,11553,4650,6903,2.01,73201
"합계",관악구,285963,495620,247531,248089,477812,240457,237355,17808,7074,10734,1.67,88885
"합계",서초구,170681,413076,196407,216669,408376,194153,214223,4700,2254,2446,2.39,68735
"합계",강남구,245094,563215,269050,294165,557345,266412,290933,5870,2638,3232,2.27,91470
"합계",송파구,287017,656310,314532,341778,650110,311728,338382,6200,2804,3396,2.27,114243
"합계",강동구,212585,481474,234830,246644,476942,232862,244080,4532,1968,2564,2.24,89895
