자치구	살인	강도	강간·강제추행	절도	폭력	범죄_합계
종로구	5	5	239	1169	1563	2981
중구	3	6	212	1520	1607	3348
용산구	3	3	245	978	1792	3021
성동구	2	2	119	893	1007	2023
광진구	2	5	238	1616	1563	3424
동대문구	5	4	146	1280	1522	2957
중랑구	6	2	169	1402	1745	3324
성북구	1	1	141	984	1284	2411
강북구	7	1	141	917	1431	2497
도봉구	7	4	90	995	825	1921
노원구	7	3	159	1632	1766	3567
은평구	7	3	153	1614	1716	3493
서대문구	5	0	160	1194	1026	2385
마포구	3	4	447	1472	1908	3834
양천구	6	2	113	1404	1494	3019
강서구	1	6	300	1794	2195	4296
구로구	12	7	194	1624	1900	3737
금천구	4	5	128	987	1116	2240
영등포구	12	10	310	1854	2232	4418
동작구	3	3	191	1183	1262	2642
관악구	16	10	328	2013	2402	4769
서초구	7	9	412	1941	2153	4522
강남구	14	20	678	2480	3571	6763
송파구	8	9	307	2416	2483	5223
강동구	4	5	144	1676	1569	3398
